year,auth,titl
2008,Lähdeoja,An approach to instrument augmentation : The electric guitar
2008,Lanzalone,The ’suspended clarinet’ with the ’uncaused sound’ : Description of a renewed musical instrument
2008,Laurson,Towards idiomatic and flexible score-based gestural control with a scripting language
2008,Loviscach,Programming a music synthesizer through data mining
2008,Macrae,From toy to tutor : Note-scroller is a game to teach music
2008,Maniatakos,Towards an affective gesture interface for expressive music performance
2008,McMillen,Stage-worthy sensor bows for stringed instruments
2008,Menzies,Virtual intimacy : Phya as an instrument
2008,Modler,Video based recognition of hand gestures by neural networks for the control of sound and music
2008,Nash,Realtime representation and gestural control of musical polytempi
2008,Ng,I-maestro : Technology-enhanced learning and teaching for music
2008,Pakarinen,Slide guitar synthesizer with gestural control
2008,Palacio-Quintin,Eight years of practice on the hyper-flute : Technological and musical perspectives
2008,Pelletier,Sonified motion flow fields as a means of musical expression
2008,Place,Addressing classes by differentiating values and properties in osc
2008,Price,Database and mapping design for audiovisual prepared radio set installation
2008,Räisänen,Sormina – a new virtual and tangible instrument
2008,Robertson,A turing test for b-keeper : Evaluating an interactive
2008,Roma,A tabletop waveform editor for live performance
2008,Schacher,Davos soundscape, a location based interactive composition
2008,Schedel,Scoring an interactive, multimedia performance work
2008,Schmeder,UOSC : The open sound control reference platform for embedded devices
2008,Sjuve,Prototype go : Wireless controller for pure data
2008,Stowell,Discourse analysis evaluation method for expressive musical interfaces
2008,Suzuki,Beacon : Embodied sound media environment for socio-musical interaction
2008,Takegawa,UnitKeyboard : An easily configurable compact clavier
2008,Teles,Developing an "antigenous" art installation based on a touchless endosystem interface
2008,Thiebaut,Real time gesture learning and recognition : Towards automatic categorization
2008,Torre,The development of motion tracking algorithms for low cost inertial measurement units
2008,Valle,GeoGraphy : A real-time, graph-based composition environment
2008,Valle,Integrated algorithmic composition fluid systems for including notation in music composition cycle
2008,Vinjar,Bending common music with physical models
2008,Ward,A study of two thereminists : Towards movement informed instrument design
2008,Wozniewski,Large-scale mobile audio environments for collaborative musical interaction
2008,Young,Classification of common violin bowing techniques using gesture data from a playable measurement system
2008,Zannos,Multi-platform development of audiovisual and kinetic installations
2008,Zbyszynski,An elementary method for tablet
2008,Zoran,Considering virtual & physical aspects in acoustic guitar design
2009,d’Alessandro,Advanced techniques for vertical tablet playing a overview of two years of practicing the handsketch 1.x
2009,Böttcher,An early prototype of the augmented psychophone
2009,Baalman,Code livecode live, or livecode embodied
2009,Baalman,Sharing data in collaborative, interactive performances : The senseworld datanetwork
2009,Barri,Versum : Audiovisual composing in 3d
2009,Barri,Versum – fluor
2009,Berdahl,HSP : A simple and effective open-source platform for implementing haptic musical instruments
2009,Berdahl,Using haptic devices to interface directly with digital waveguide-based musical instruments
2009,Berdahl,Using haptics to assist performers in making gestures to a musical instrument
2009,Bianchi,The drummer : A collaborative musical interface with mobility
2009,Bouillot,Challenges and performance of high-fidelity audio streaming for interactive performances
2009,Bukvic,Elemental & cyrene reefs
2009,Bullock,Towards a humane graphical user interface for live electronic music
2009,Collicutt,From real to virtual : A comparison of input devices for percussion tasks
2009,Cook,Re-designing principles for computer music controllers : A case study of squeezevox maggie
2009,Crawford,The midi-airguitar , a serious musical controller with a funny name music technology program
2009,Dolphin,SpiralSet : A sound toy utilizing game engine technologies
2009,Dolphin,MagNular : Symbolic control of an external sound engine using an animated interface
2009,Dubois,Bioluminescence
2009,Essl,SpeedDial : Rapid and on-the-fly mapping of mobile phone instruments
2009,Feehan,Audio orienteering – navigating an invisible terrain
2009,Fels,ForTouch : A wearable digital ventriloquized actor
2009,Ferguson,An interface for live interactive sonification
2009,Fiebrink,A meta-instrument for interactive, on-the-fly machine learning
2009,Freed,Novel and forgotten current-steering techniques for resistive multitouch, duotouch, and polytouch position sensing with pressure
2009,Freed,Features and future of open sound control version 1.1 for nime
2009,Fyans,Where did it all go wrong ? A model of error from the spectator’s perspective
2009,Gallin,Sensor technology and the remaking of instruments from the past
2009,Gao,LUMI : Live performance paradigms utilizing software integrated touch screen and pressure sensitive button matrix
2009,Gelineck,A quantitative evaluation of the differences between knobs and sliders
2009,Gillian,The SARC eyesweb catalog : A pattern recognition toolbox for musician-computer interaction
2009,Gillian,Scratch-off : A gesture based mobile music game with tactile feedback
2009,Gong,MusicGrip : A writing instrument for music control
2009,Goto,BodyJack
2009,Goto,NetBody - "augmented body and virtual body ii" with the system, bodysuit, powered suit and second life - its introduction of an application of the system
2009,Gresham-Lancaster,Cellphonia: 4’33"
2009,Gurevich,Designing for style in new musical interactions
2009,Höofer,Gyroscope-based conducting gesture recognition
2009,Hadjakos,Probabilistic model of pianists’ arm touch movements
2009,Havryliv,Haptic carillon – analysis & design of the carillon mechanism
2009,Henriques,Double slide controller
2009,Hindman,Performance: Modal kombat plays PONG
2009,Hockman,Real-time phase vocoder manipulation by runner’s pace
2009,Hong,Cosmic strings ii
2009,Hsu,Evaluating interactive music systems : An hci approach
2009,Humphrey,The navi activity monitor : Toward using kinematic data to humanize computer music
2009,Jessop,The vocal augmentation and manipulation prosthesis (vamp): A conducting-based gestural controller for vocal performance
2009,Johnston,Designing for conversational interaction
2009,Jones,The fragmented orchestra
2009,Jones,A force-sensitive surface for intimate control
2009,Jong,Developing the cyclotactor
2009,Kahrs,An electroacoustically controlled vibrating plate
2009,Kanda,Mims : Interactive multimedia live performance system
2009,Kapuscinski,Interfacing graphic and musical elements in counterlines
2009,Keith,Controlling live generative electronic music with deviate
2009,Kellum,A flexible mapping editor for multi-touch musical instruments
2009,Kiefer,Phalanger : Controlling music software with hand movement using a computer vision and machine learning approach
2009,Kirk,The argus project : Underwater soundscape composition with laser- controlled modulation
2009,Lähdeoja,Augmenting chordophones with hybrid percussive sound possibilities
2009,Lai,Hands on stage : A sound and image performance interface
2009,Laurenzo,YARMI : An augmented reality musical instrument
2009,Leeuw,The electrumpet , a hybrid electro-acoustic instrument
2009,Leider,Afflux/reflux
2009,Leider,The elBo and footPad : Toward personalized hardware for audio manipulation
2009,Lieberman,Anigraphical etude 9
2009,Lyon,Biomuse trio
2009,Müller,Utilizing tactile feedback to guide movements between sounds
2009,Mann,The tactus : A tangible , rhythmic grid interface using found-objects
2009,McDonald,The vibrobyte : A haptic interface for co-located performance
2009,Mclean,Words , movement and timbre
2009,Min,SORISU : Sound with numbers
2009,Miyama,Angry sparrow
2009,Nagashima,Parallel processing system design with "propeller" processor
2009,Nakra,The ubs virtual maestro : An interactive conducting system
2009,Neill,Ben neill and lemur
2009,Nicolls,Twenty-first century piano
2009,Nishino,A 2D fiducial tracking method based on topological region adjacency and angle information
2009,Nymoen,A discussion of multidimensional mapping in nymophone2
2009,Ogawa,Life game orchestra as an interactive music composition system translating cellular patterns of automata into musical scales
2009,Overholt,Pendaphonics
2009,Paine,Fue sho – electrofusion
2009,Parson,Chess-based composition and improvisation for non-musicians
2009,Partridge,Let loose with wallballs, a collaborative tabletop instrument for tomorrow
2009,Pedrosa,Evaluation of 3D haptic target rendering to support timing in music tasks
2009,Peng,A wii-based gestural interface for computer conducting systems
2009,Polfreman,FrameWorks 3D : Composition in the third dimension
2009,Reben,Responsive music interfaces for performance
2009,Rogers,Study no. 1 for PAM and madi
2009,Schacher,Action and perception in interactive sound installations : An ecological approach
2009,Schiesser,MidOSC : A gumstix-based midi-to-osc converter
2009,Schlessinger,The kalichord : A physically modeled electro-acoustic plucked string instrument
2009,Schmeder,A low-level embedded service architecture for rapid diy design of real-time musical instruments
2009,Siwiak,Catch your breath - musical biofeedback for breathing regulation
2009,Smallwood,Sound lanterns
2009,Smallwood,Don’t forget the loudspeaker — a history of hemispherical speakers at princeton , plus a diy guide
2009,Solis,Anthropomorphic musical performance robots at waseda university : Increasing understanding of the nature of human musical interaction abstract
2009,Spowage,The ghetto bastard : A portable noise instrument
2009,St. Clair,PlaySoundGround : An interactive musical playground
2009,Stearns,AANN: Artificial analog neural network
2009,Steiner,Firmata : Towards making microcontrollers act like extensions of the computer
2009,Todoroff,"Extension du corps sonore" - dancing viola
2009,Toenjes,Natural materials on stage : Custom controllers for aesthetic effect
2009,Torre,MOLITVA — composition for voice, live electronics, pointing-at glove device and 3-D setup of speakers
2009,Wang,Designing smule’s ocarina : The iPhone’s magic flute
2009,Wang,PLOrk beat science 2.0
2009,Wechsler,The oklo phenomenon
2009,Weinberg,ZooZBeat : A gesture-based mobile music studio
2009,Weinberg,The creation of a multi-human, multi-robot interactive jam session
2009,Wessel,Hands on - a new work from slabs controller and generative algorithms
2009,Wiley,Multi-laser gestural interface — solutions for cost-effective and open source controllers
2010,Ahmaniemi,Gesture controlled virtual instrument with dynamic vibrotactile feedback
2010,Alt,Creating meaningful melodies from text messages
2010,Baba,"VirtualPhilharmony" : A conducting system with heuristics of conducting an orchestra
2010,Beilharz,Expressive wearable sonification and visualisation : Design and evaluation of a flexible display
2010,Berger,The grip maestro : Idiomatic mappings of emotive gestures for control of live electroacoustic music
2010,Berthaut,DRILE : An immersive environment for hierarchical live-looping
2010,Brown,Network jamming : Distributed performance using generative music
2010,Bryan,MoMu : A mobile music toolkit
2010,Bryan-Kinns,Interactional sound and music : Listening to cscw, sonification, and sound art
2010,Buch,"Playing robot" : An interactive sound installation in human-robot interaction design for new media art
2010,Bukvic,Introducing l2ork : Linux laptop orchestra
2010,Burt,Packages for artwonk : New mathematical tools for composers
2010,Cannon,Expression and spatial motion : Playable ambisonics
2010,Carrillo,The bowed tube : A virtual violin
2010,Cassinelli,ScoreLight : Playing with a human-sized laser pick-up
2010,Choi,LUSH : An organic eco + music system
2010,Chun,Freepad : A custom paper-based midi interface
2010,Ciglar,An ultrasound based instrument generating audible and tactile sound
2010,Collins,Contrary motion : An oppositional interactive music system
2010,Collins,Musical exoskeletons : Experiments with a motion capture suit
2010,Dahl,Sound bounce : Physical metaphors in designing mobile music performance
2010,Deleflie,Images as spatial sound maps
2010,Dimitrov,Extending the soundcard for use with generic DC sensors demonstrated by revisiting a vintage isa design
2010,Dubrau,P\[a\]ra\[pra\]xis : Towards genuine realtime ’audiopoetry’
2010,Essl,Designing mobile musical instruments and environments with urMus
2010,Essl,Use the force (or something) - pressure and pressure - like input for mobile music performance
2010,Fencott,Hey man, you’re invading my personal space ! Privacy and awareness in collaborative music
2010,Feng,Irregular incurve
2010,Ferguson,Movement in a contemporary dance work and its relation to continuous emotional response
2010,Freed,Visualizations and interaction strategies for hybridization interfaces
2010,Frisson,DeviceCycle : Rapid and reusable prototyping of gestural interfaces, applied to audio browsing by similarity
2010,Frounberg,Glass instruments – from pitch to timbre
2010,Fyans,Examining the spectator experience
2010,Fyfe,SurfaceMusic : Mapping virtual touch-based instruments to physical models
2010,Großhauser,New sensors and pattern recognition techniques for string instruments
2010,Grossmann,Developing a hybrid contrabass recorder resistances, expression, gestures and rhetoric
2010,Guaus,A left hand gesture caption system for guitar based on capacitive sensors
2010,Gurevich,Style and constraint in electronic musical instruments
2010,Hähnel,From mozart to midi : A rule system for expressive articulation
2010,Hähnel,Expressive articulation for synthetic music performances
2010,Hadjakos,Analysis of piano playing movements spanning multiple touches
2010,Hass,Creating integrated music and video for dance : Lessons learned and lessons ignored
2010,Havryliv,Composing for improvisation with chaotic oscillators
2010,Hawryshkewich,Beatback : A real-time interactive percussion system for rhythmic practise and exploration
2010,Hayes,Neurohedron : A nonlinear sequencer interface
2010,Headlee,Sonic virtual reality game : How does your body sound ?
2010,Heinz,Designing a shareable musical tui
2010,Hochenbaum,Multimodal musician recognition
2010,Hochenbaum,Designing expressive musical interfaces for tabletop surfaces
2010,Holm,Associating emoticons with musical genres
2010,Humphrey,Epi-thet : A musical performance installation and a choreography of stillness
2010,Jaimovich,Ground me ! An interactive sound art installation
2010,Jaimovich,Synchronization of multimodal recordings for musical performance research
2010,Jensenius,Evaluating the subjective effects of microphone placement on glass instruments
2010,Kang,Hé : Calligraphy as a musical interface
2010,Kapur,A pedagogical paradigm for musical robotics
2010,Kiefer,A malleable interface for sonic exploration
2010,Kim,Interactive music studio : The soloist
2010,Kitani,ImprovGenerator : Online grammatical induction for on-the-fly improvisation accompaniment
2010,Kocaballi,Investigating the potential for shared agency using enactive interfaces
2010,Le Groux,Disembodied and collaborative musical interaction in the multimodal brain orchestra
2010,Liebman,Cuebert : A new mixing board concept for musical theatre
2010,Müller,Reflective haptics : Resistive force feedback for musical performances with stylus-controlled instruments
2010,Magnusson,An epistemic dimension space for musical devices
2010,Marier,The sponge a flexible interface
2010,Martin,Mechanisms for controlling complex sound sources : Applications to guitar feedback control
2010,Martin,Cross-artform performance using networked interfaces : Last man to die’s vital lmtd
2010,Maruyama,UnitInstrument : Easy configurable musical instruments
2010,Mattek,Revisiting cagean composition methodology with a modern computational implementation
2010,McPherson,Augmenting the acoustic piano with electromagnetic string actuation and continuous key position sensing
2010,Meier,The planets
2010,Miller,Wiiolin : A virtual instrument using the wii remote
2010,Mills,Music programming in minim
2010,Mills,Dislocated sound : A survey of improvisation in networked audio platforms
2010,Miyama,Peacock : A non-haptic 3D performance interface
2010,Mulder,The loudspeaker as musical instrument
2010,Murphy,The helio : A study of membrane potentiometers and long force sensing resistors for musical interfaces
2010,Nagashima,Untouchable instrument "peller-min"
2010,Nugroho,Understanding and evaluating user centred design in wearable expressions
2010,Nymoen,Searching for cross-individual relationships between sound and movement features using an SVM classifier
2010,Oh,Evolving the mobile phone orchestra
2010,Paine,Towards a taxonomy of realtime interfaces for electronic music performance
2010,Pan,A robot musician interacting with a human partner through initiative exchange
2010,Park,Online map interface for creative and interactive
2010,Quintas,Glitch delighter : Lighter’s flame base hyper-instrument for glitch music in burning the sound performance
2010,Reboursière,Multimodal guitar : A toolbox for augmented guitar performances
2010,Roberts,Dynamic interactivity inside the allosphere
2010,Rothman,The ghost : An open-source, user programmable midi performance controller
2010,Savage,Mmmmm : A multi-modal mobile music mixer
2010,Schacher,Motion to gesture to sound : Mapping for interactive dance
2010,Schlei,Relationship-based instrument mapping of multi-point data streams using a trackpad interface
2010,Schmeder,Support vector machine learning for gesture signal estimation with a piezo-resistive fabric touch surface
2010,Skogstad,Using IR optical marker based motion capture for exploring musical interaction
2010,Solis,Development of the waseda saxophonist robot and implementation of an auditory feedback control
2010,Stahl,Auditory masquing : Wearable sound systems for diegetic character voices
2010,Suiter,Toward algorithmic composition of expression in music using fuzzy logic
2010,Tanaka,Mapping out instruments, affordances, and mobiles
2010,Taylor,Humanaquarium : A participatory performance system
2010,Taylor,FerroSynth : A ferromagnetic music interface
2010,Torre,POLLEN a multimedia interactive network installation
2010,Torresen,Wireless sensor data collection based on ZigBee communication
2010,Tremblay,Surfing the waves : Live audio mosaicing of an electric bass performance as a corpus browsing interface
2010,Tsai,An interactive responsive skin for music
2010,Umetani,Designing custom-made metallophone with concurrent eigenanalysis
2010,Vallis,A shift towards iterative and open-source design for musical interfaces
2010,Wöldecke,ANTracks 2.0 - generative music on multiple multitouch devices categories and subject descriptors
2010,Whalley,Generative improv . & Interactive music project (giimp)
2010,Wyse,Instrumentalizing synthesis models
2010,Yamaguchi,TwinkleBall : A wireless musical interface for embodied sound media
2010,Yerkes,Disky : A diy rotational interface with inherent dynamics
2010,Zappi,OSC virtual controller
2011,d’Alessandro,ROOM 81—agent-based instrument for experiencing architectural and vocal cues
2011,Aaron,A principled approach to developing new languages for live coding
2011,Ahola,Raja – a multidisciplinary artistic performance
2011,Albin,Beatscape , a mixed virtual-physical environment for musical ensembles
2011,Ando,Improving user-interface of interactive ec for composition-aid by means of shopping basket procedure
2011,Angel,Creating interactive multimedia works with bio-data
2011,Bökesoy,1city1001vibrations : Development of a interactive sound installation with robotic instrument performance
2011,Bå\aath,Eye tapping : How to beat out an accurate rhythm using eye movements
2011,Barenca,The manipuller : Strings manipulation and multi-dimensional force sensing
2011,Beck,Tangible performance management of grid-based laptop orchestras
2011,Berdahl,Autonomous new media artefacts ( autonma )
2011,Berdahl,Satellite ccrma: A musical interaction and sound synthesis platform
2011,Bergsland,Phrases from Paul Lansky’s Six Fantasies
2011,Berthaut,First person shooters as collaborative multiprocess instruments
2011,Beyer,Music interfaces for novice users : Composing music on a public display with hand gestures
2011,Bisig,Flowspace – a hybrid ecosystem
2011,Bokowiec,V’OCT (ritual): An interactive vocal work for bodycoder system and 8 Channel spatialization
2011,Brandtsegg,A modulation matrix for complex parameter sets
2011,Bryan,Two turntables and a mobile phone
2011,Bullock,Integra live : A new graphical user interface for live electronic music
2011,Cappelen,Expanding the role of the instrument
2011,Caramiaux,Sound selection by gestures
2011,Caramiaux,Gestural embodiment of environmental sounds : An experimental study
2011,Carlson,The sound flinger : A haptic spatializer
2011,Carrascal,Multitouch interface for audio mixing
2011,Choe,SWAF: Towards a web application framework for composition and documentation of soundscape
2011,Comajuncosas,Nuvolet: 3D gesture-driven collaborative audio mosaicing
2011,Crevoisier,Mapping objects with the surface editor
2011,Dahl,TweetDreams : Making music with the audience and the world using real-time twitter data
2011,Derbinsky,Cognitive architecture in mobile music interactions
2011,Diakopoulos,HIDUINO : A firmware for building driverless USB-midi devices using the arduino microcontroller
2011,Dimitrov,Audio arduino – an alsa (advanced linux sound architecture) audio driver for ftdi-based arduinos
2011,Donald,Designing the ep trio: Instrument identities, control and performance practice in an electronic chamber music ensemble
2011,Engum,Real-time control and creative convolution
2011,Erkut,A structured design and evaluation model with application to rhythmic interaction displays
2011,Fabiani,MoodifierLive : Interactive and collaborative expressive music performance on mobile devices
2011,Falkenstein,Gliss : An intuitive sequencer for the iPhone and iPad
2011,Fléty,Latency improvement in sensor wireless transmission using IEEE 802.15.4
2011,Forsyth,Random access remixing on the iPad
2011,Franinovic,The flo)(ps : Negotiating between habitual and explorative gestures
2011,Freed,Composability for musical gesture signal processing using new osc-based object and functional programming extensions to max/msp
2011,Friberg,Experiences from video-controlled sound installations
2011,Fyans,Perceptions of skill in performances with acoustic and electronic instruments
2011,Fyfe,JunctionBox : A toolkit for creating multi-touch sound control interfaces
2011,Gallin,Eobody3: A ready-to-use pre-mapped & multi-protocol sensor interface
2011,Garcı́a,Acquisition and study of blowing pressure profiles in recorder playing
2011,Garcia,InkSplorer : Exploring musical ideas on paper and computer
2011,Gillian,Recognition of multivariate temporal musical gestures using n-dimensional dynamic time warping
2011,Gillian,A machine learning toolbox for musician computer interaction
2011,Gold,A reference architecture and score representation for popular music human-computer music performance systems
2011,Goncalves,Towards a voltage-controlled computer control and interaction beyond an embedded system
2011,Hähnel,Studying interdependencies in music performance : An interactive tool
2011,Hansen,Play fluency in music improvisation games for novices
2011,Harriman,Quadrofeelia – a new instrument for sliding into notes
2011,Hayes,Vibrotactile feedback-assisted performance
2011,Hochenbaum,Adding z-depth and pressure expressivity to tangible tabletop surfaces
2011,Hsu,On movement , structure and abstraction in generative audiovisual improvisation
2011,Janssen,A reverberation instrument based on perceptual mapping
2011,Jessop,Music and technology in death and the powers
2011,Johnston,Beyond evaluation : Linking practice and theory in new musical interface design
2011,Jong,Making grains tangible: Microtouch for microsound
2011,Julià,MTCF : A framework for designing and coding musical tabletop applications directly in pure data
2011,Kapur,The karmetik notomoton : A new breed of musical robot for teaching and performance
2011,Keefe,The visual in mobile music performance
2011,Kerlleñevich,An open source interface based on biological neural networks for interactive music performance
2011,Kim,Clothesline as a metaphor for a musical interface
2011,Kim,Musical control of a pipe based on acoustic resonance
2011,Kim,Polyhymnia : An automatic piano performance system with statistical modeling of polyphonic expression and musical symbol interpretation
2011,Klügel,An approach to collaborative music composition
2011,Knapp,MobileMuse: Integral music control goes mobile
2011,Kondapalli,Daft datum – an interface for producing music through foot-based interaction
2011,Kruge,MadPad : A crowdsourcing system for audiovisual sampling
2011,Kuhara,Kinetic particles synthesizer using multi-touch screen interface of mobile devices
2011,Lamb,Seaboard : A new piano keyboard-related interface combining discrete and continuous control
2011,Lee,Sonicstrument : A musical interface with stereotypical acoustic transducers
2011,Leslie,MoodMixer : EEG-based collaborative sonification
2011,Liang,A framework for coordination and synchronization of media
2011,Lopez,Battle of the djs: An hci perspective of traditional, virtual, hybrid and multitouch djing
2011,Luhtala,Designing a music performance space for persons with intellectual learning disabilities
2011,Marchini,A hair ribbon deflection model for low-intrusiveness measurement of bow force in violin performance
2011,Marquez-Borbon,Designing digital musical interactions in experimental contexts
2011,Marshall,Examining the effects of embedded vibrotactile feedback on the feel of a digital musical instrument
2011,Martin,Strike on stage : A percussion and media performance
2011,Mcgee,BioRhythm : A biologically-inspired audio-visual installation
2011,Mealla,Listening to your brain : Implicit interaction in collaborative music performances
2011,Milne,Hex player — a virtual musical controller
2011,Mitchell,SoundGrasp : A gestural interface for the performance of live music
2011,Molina,BeatJockey : A new tool for enhancing dj skills
2011,Montag,A low-cost, low-latency multi-touch table with haptic feedback for musical applications
2011,Mullen,Minding the (transatlantic) gap: An internet-enabled acoustic brain-computer music interface
2011,Murray-Browne,The medium is the message: Composing instruments and performing mappings
2011,Newton,Examining how musicians create augmented musical instruments
2011,Nishino,Cognitive issues in computer music programming
2011,Nymoen,SoundSaber – a motion capture instrument
2011,Overholt,The overtone fiddle: An actuated acoustic instrument
2011,Papetti,Rhythm’n’Shoes: A wearable foot tapping interface with audio-tactile feedback
2011,Pardue,Gamelan elektrika: An electronic balinese gamelan
2011,Pigott,Vibration , volts and sonic art: A practice and theory of electromechanical sound
2011,Pirrò,Physical modelling enabling enaction: An example
2011,Polotti,EGGS in action
2011,Popp,Intuitive real-time control of spectral model synthesis
2011,Ramkissoon,The bass sleeve: A real-time multimedia gestural controller for augmented electric bass performance
2011,Reus,Crackle: A dynamic mobile multitouch topology for exploratory sound interaction
2011,Roh,Robust and reliable fabric, piezoresistive multitouch sensing surfaces for musical controllers
2011,Rosenbaum,MelodyMorph: A reconfigurable musical instrument
2011,Schacher,Traces – body, motion and sound
2011,Schedel,Wekinating 000000Swan : Using machine learning to create and control complex artistic systems
2011,Schnell,Playing the "mo" – gestural control and re-embodiment of recorded sound and music
2011,Schoonderwaldt,Effective and expressive movements in a french-canadian fiddler’s performance
2011,Schroeder,A physically based sound space for procedural agents
2011,Seldess,Tahakum: A multi-purpose audio control framework
2011,Shear,The electromagnetically sustained rhodes piano
2011,Sioros,Automatic rhythmic performance in max/msp: The kin.rhythmicator
2011,Skogstad,OSC implementation and evaluation of the xsens mvn suit
2011,Smallwood,Solar sound arts: Creating instruments and devices powered by photovoltaic technologies
2011,Smith,The self-supervising machine
2011,Snyder,Snyderphonics manta controller, a novel USB touch-controller
2011,Sosnick,Implementing a finite difference-based real-time sound synthesizer using GPUs
2011,Tidemann,An artificial intelligence architecture for musical expressiveness that learns by imitation
2011,Todoroff,Wireless digital/analog sensors for music and dance performances
2011,Tseng,Sound low fun
2011,Ustarroz,TresnaNet musical generation based on network protocols
2011,Verplank,Can haptics make new music ? – fader and plank demos
2011,Waadeland,Rhythm performance from a spectral point of view
2011,Wang,Designing for the iPad : Magic fiddle
2011,Wang,SQUEEZY : Extending a multi-touch screen with force sensing objects for controlling articulatory synthesis
2011,Wyse,The effect of visualizing audio targets in a musical listening and performance task
2011,Yoo,Creating musical expression using kinect
2011,Zamborlin,(LAND)MOVES
2011,Zappi,Design and evaluation of a hybrid reality performance
2012,d’Alessandro,A digital mobile choir: Joining two interfaces towards composing and performing collaborative mobile music
2012,Şentürk,Crossole: A gestural interface for composition, improvisation and performance using kinect
2012,Allison,AuRal: A mobile interactive system for geo-locative audio synthesis
2012,Ariza,The dual-analog gamepad as a practical platform for live electronics instrument and interface design
2012,Astrinaki,MAGE –a platform for tangible speech synthesis
2012,Barbosa,Considering audience’s view towards an evaluation methodology for digital musical instruments
2012,Beilharz,The ‘interface’ in site-specific sound installation
2012,Bergsland,Using a seeing/blindfolded paradigm to study audience experiences of live-electronic performances with voice
2012,Booth,Collaborative composition and socially constituted instruments: Ensemble laptop performance through the lens of ethnography
2012,Bosi,Towards fast multi-point force and hit detection in tabletops using mechanically intercoupled force sensing resisors
2012,Brent,The gesturally extended piano
2012,Britt,The emvibe: An electromagnetically actuated vibraphone
2012,Bukvic,Granular learning objects for instrument design and collaborative performance in k-12 education
2012,Buschert,Musician maker: Play expressive music without practice
2012,Carey,Designing for cumulative interactivity: The derivations system
2012,Carlson,Borderlands -an audiovisual interface for granular synthesis
2012,Castet,Performing experimental music by physical simulation
2012,Chacin,Play-a-grill: Music to your teeth
2012,Choi,The deckle project : A sketch of three sensors
2012,Clay,Movement to emotions to music: Using whole body emotional expression as an interaction for electronic music generation
2012,Dahl,Wicked problems and design considerations in composing for laptop orchestra
2012,Dahlstedt,Pencil fields: An expressive low-tech performance interface for analog synthesis
2012,Derbinsky,Exploring reinforcement learning for mobile percussive collaboration
2012,Donnarumma,Music for flesh ii: Informing interactive music performance with the viscerality of the body system
2012,El-Shimy,A reactive environment for dynamic volume control
2012,Endo,Tweet harp: Laser harp generating voice and text of real-time tweets in twitter
2012,FASCIANI,A voice interface for sound generators: Adaptive and automatic mapping of gestures to sound
2012,Freed,The fingerphone: A case study of sustainable instrument redesign
2012,Frisson,LoopJam: Turning the dance floor into a collaborative instrumental map
2012,Fyans,Ecological considerations for participatory design of dmis
2012,Fyfe,Node and message management with the junctionbox interaction toolkit
2012,Gerhard,Instant instrument anywhere: A self-contained capacitive synthesizer
2012,Gillian,Digito: A fine-grain gesturally controlled virtual musical instrument
2012,Giordano,Bowing a vibration-enhanced force feedback device
2012,Gong,A customizable sensate surface for music control
2012,Grosshauser,Sensor based measurements of musicians’ synchronization issues
2012,Han,FutureGrab: A wearable subtractive synthesizer using hand gesture
2012,Han,Virtual pottery: An interactive audio-visual installation
2012,Hansen,Two shared rapid turn taking sound interfaces for novices
2012,Harriman,Sinkapater -an untethered beat sequencer
2012,Hattwick,Approaches to interaction in a digital music ensemble
2012,Hattwick,A dimension space for evaluating collaborative musical performance systems
2012,Henriques,SONIK spring
2012,Henson,Kugelschwung -a pendulum-based musical instrument
2012,Hochenbaum,Drum stroke computing: Multimodal signal processing for drum stroke identification and performance metrics
2012,Hollinger,Optoelectronic acquisition and control board for musical applications
2012,Jackson,Bubble drum-agog-ing: Polyrhythm games & other inter activities
2012,Jackson,Bubble drum-agog-ing: Polyrhythm games & other inter activities
2012,Jaimovich,The emotion in motion experiment: Using an interactive installation as a means for understanding emotional response to music
2012,Johnston,A comparative user study of two methods of control on a multi-touch surface for musical expression
2012,Kapur,Kritaanjali: A robotic harmonium for performance, pedogogy and research
2012,Kikukawa,PocoPoco: A kinetic musical interface with electro-magnetic levitation units
2012,Kim,Interactive mobile music performance with digital compass
2012,Kimura,Extracting human expression for interactive composition with the augmented violin
2012,Klooster,The body as mediator of music in the emotion light
2012,Lai,A design approach to engage with audience with wearable musical instruments: Sound gloves
2012,Lee,Real-time modification of music with dancer’s respiration pattern
2012,Lee,Empathetic interactive music video experience
2012,Lee,Real-time music notation, collaborative improvisation, and laptop ensembles
2012,Lee,Tok! : A collaborative acoustic instrument using mobile phones
2012,Leeuw,The electrumpet, additions and revisions
2012,Leeuw,NIME education at the hku, emphasizing performance
2012,Lehrman,Multiple pianolas in antheil’s ballet mécanique
2012,Levinson,TedStick: A tangible electrophonic drumstick
2012,Levy,OMaxist dialectics: Capturing, visualizing and expanding improvisations
2012,Lu,Wireless interactive sensor platform for real-time audio-visual experience
2012,Luhtala,Studying aesthetics in a musical interface design process through ‘aesthetic experience prism’
2012,Lympouridis,EnActor: A blueprint for a whole body interaction design software platform
2012,Müller-Rakow,The human skin as an interface for musical expression
2012,Magnus,Musician assistance and score distribution (masd)
2012,Makelberge,Perfect take: Experience design and new interfaces for musical expression
2012,Manousakis,Network spaces as collaborative instruments: WLAN trilateration for musical echolocation in sound art
2012,Marier,Designing mappings for musical interfaces using preset interpolation
2012,Mayton,Patchwork: Multi-user network control of a massive modular synthesizer
2012,McGee,SenSynth: A mobile application for dynamic sensor to sound mapping
